Codigo;Decibelios medidos;Fecha/Hora medicion
BI-RUI-C012;54.2;2026-05-22 01:26:13.723
BI-RUI-BR6;56.222;2026-05-22 01:26:23.35
BI-RUI-C012;51.7;2026-05-22 01:27:24.56
BI-RUI-C032;50.50;2026-05-22 01:28:20.6
BI-RUI-P011;61.1;2026-05-22 01:28:38.383
BI-RUI-C012;51.3;2026-05-22 01:28:43.12
BI-RUI-015;72.378;2026-05-22 01:28:52.73
BI-RUI-C004;73.7;2026-05-22 01:29:30.72
BI-RUI-C003;46.70;2026-05-22 01:29:30.953
BI-RUI-C012;54.5;2026-05-22 01:30:00.82
BI-RUI-019;63.196;2026-05-22 01:30:21.587
BI-RUI-017;65.456;2026-05-22 01:30:29.323
BI-RUI-004;66.667;2026-05-22 01:30:45.107
BI-RUI-C014;47.50;2026-05-22 01:30:54.64
BI-RUI-P009;56.1;2026-05-22 01:30:58.763
BI-RUI-006;79.139;2026-05-22 01:31:12.75
BI-RUI-001;70.904;2026-05-22 01:31:18.66
BI-RUI-C012;53.4;2026-05-22 01:31:30.74
BI-RUI-P012;62.1;2026-05-22 01:31:35.66
BI-RUI-C012;51.3;2026-05-22 01:32:46.17
BI-RUI-BR11;57.599;2026-05-22 01:33:15.707
BI-RUI-009;62.178;2026-05-22 01:33:17.49
BI-RUI-P014;56.1;2026-05-22 01:33:42.07
BI-RUI-C002;75.0;2026-05-22 01:33:44.087
BI-RUI-C018;54.80;2026-05-22 01:34:00.01
BI-RUI-C012;53.6;2026-05-22 01:34:02.45
BI-RUI-C008;51.0;2026-05-22 01:34:50.893
BI-RUI-P007;54.8;2026-05-22 01:35:18.99
BI-RUI-C005;52.7;2026-05-22 01:35:20.54
BI-RUI-C012;51.0;2026-05-22 01:35:20.74
BI-RUI-011;46.521;2026-05-22 01:36:07.763
BI-RUI-007;51.782;2026-05-22 01:36:09.86
BI-RUI-C015;47.20;2026-05-22 01:36:12.327
BI-RUI-C012;51.4;2026-05-22 01:36:30.47
BI-RUI-C020;50.60;2026-05-22 01:36:38.02
BI-RUI-025;56.80;2026-05-22 01:36:40.52
BI-RUI-020;57.30;2026-05-22 01:36:50.973
BI-RUI-C021;54.30;2026-05-22 01:36:51.583
BI-RUI-P002;42.7;2026-05-22 01:37:16.29
BI-RUI-C034;56.10;2026-05-22 01:37:31.853
BI-RUI-C012;55.7;2026-05-22 01:37:47.03
BI-RUI-021;58.00;2026-05-22 01:37:53.153
BI-RUI-P010;57.0;2026-05-22 01:38:27.253
BI-RUI-C033;52.30;2026-05-22 01:38:29.27
BI-RUI-008;54.809;2026-05-22 01:38:47.023
BI-RUI-P005;56.1;2026-05-22 01:38:47.93
BI-RUI-C012;53.1;2026-05-22 01:38:56.85
BI-RUI-C016;47.6;2026-05-22 01:39:22.81
BI-RUI-010;63.157;2026-05-22 01:39:49.89
BI-RUI-C013;56.0;2026-05-22 01:39:51.25
BI-RUI-P001;52.2;2026-05-22 01:40:03.003
BI-RUI-C012;52.6;2026-05-22 01:40:07.533
BI-RUI-005;55.265;2026-05-22 01:40:11.737
BI-RUI-C001;61.7;2026-05-22 01:40:13.287
BI-RUI-BR15;59.50;2026-05-22 01:40:52.65
BI-RUI-C019;22.30;2026-05-22 01:40:53.697
BI-RUI-C012;52.7;2026-05-22 01:41:14.28
BI-RUI-BR6;41.593;2026-05-22 01:41:32.843
BI-RUI-C012;51.6;2026-05-22 01:42:31.697
BI-RUI-P011;58.3;2026-05-22 01:43:39.02
BI-RUI-C032;54.40;2026-05-22 01:43:41.487
BI-RUI-015;69.456;2026-05-22 01:43:53.21
BI-RUI-C012;51.8;2026-05-22 01:43:59.13
BI-RUI-C004;74.1;2026-05-22 01:44:52.967
BI-RUI-C012;54.1;2026-05-22 01:45:09.517
BI-RUI-019;61.690;2026-05-22 01:45:20.66
BI-RUI-017;65.014;2026-05-22 01:45:23.38
BI-RUI-004;64.782;2026-05-22 01:45:41.723
BI-RUI-P013;57.0;2026-05-22 01:45:55.773
BI-RUI-P009;57.0;2026-05-22 01:45:58.79
BI-RUI-006;79.104;2026-05-22 01:46:11.683
BI-RUI-001;70.266;2026-05-22 01:46:18.607
BI-RUI-C014;41.40;2026-05-22 01:46:20.7
BI-RUI-C012;51.8;2026-05-22 01:46:26.247
BI-RUI-P012;59.9;2026-05-22 01:46:35.843
BI-RUI-C003;49.60;2026-05-22 01:47:08.113
BI-RUI-C012;50.6;2026-05-22 01:47:48.383
BI-RUI-P006;61.9;2026-05-22 01:48:04.37
BI-RUI-009;63.372;2026-05-22 01:48:11.48
BI-RUI-BR11;76.962;2026-05-22 01:48:14.92
BI-RUI-P014;54.1;2026-05-22 01:48:42.097
BI-RUI-C012;49.0;2026-05-22 01:48:59.3
BI-RUI-C002;76.7;2026-05-22 01:49:03.02
BI-RUI-C018;51.70;2026-05-22 01:49:22.227
BI-RUI-C008;50.3;2026-05-22 01:50:07.28
BI-RUI-C012;49.8;2026-05-22 01:50:12.123
BI-RUI-P007;56.4;2026-05-22 01:50:19.297
BI-RUI-C005;54.2;2026-05-22 01:50:37.067
BI-RUI-011;52.109;2026-05-22 01:51:14.353
BI-RUI-007;52.176;2026-05-22 01:51:27.76
BI-RUI-C012;52.4;2026-05-22 01:51:28.34
BI-RUI-C015;38.30;2026-05-22 01:51:38.467
BI-RUI-025;55.50;2026-05-22 01:52:00.983
BI-RUI-C020;50.20;2026-05-22 01:52:01.36
BI-RUI-020;64.10;2026-05-22 01:52:09.14
BI-RUI-C021;56.70;2026-05-22 01:52:09.47
BI-RUI-P002;42.3;2026-05-22 01:52:16.597
BI-RUI-C012;50.7;2026-05-22 01:52:35.003
BI-RUI-C034;55.00;2026-05-22 01:52:55.07
BI-RUI-021;56.40;2026-05-22 01:53:09.79
BI-RUI-P010;60.3;2026-05-22 01:53:27.59
BI-RUI-008;57.352;2026-05-22 01:53:44.953
BI-RUI-P005;71.1;2026-05-22 01:53:48.423
BI-RUI-C033;52.20;2026-05-22 01:53:50.423
BI-RUI-C012;50.6;2026-05-22 01:54:04.487
BI-RUI-C016;46.5;2026-05-22 01:54:44.43
BI-RUI-P001;47.3;2026-05-22 01:55:03.527
BI-RUI-010;66.171;2026-05-22 01:55:08.67
BI-RUI-005;47.297;2026-05-22 01:55:12.78
BI-RUI-C013;53.0;2026-05-22 01:55:13.7
BI-RUI-C012;48.7;2026-05-22 01:55:20.14
BI-RUI-C001;57.8;2026-05-22 01:55:36.03
BI-RUI-BR15;58.80;2026-05-22 01:56:10.287
BI-RUI-BR6;41.700;2026-05-22 01:56:20.21
BI-RUI-C019;22.30;2026-05-22 01:56:25.54
BI-RUI-C012;46.7;2026-05-22 01:56:38.37
BI-RUI-C012;47.7;2026-05-22 01:57:54.32
BI-RUI-P011;58.3;2026-05-22 01:58:39.607
BI-RUI-015;68.813;2026-05-22 01:58:50.03
BI-RUI-C032;49.20;2026-05-22 01:59:04.33
BI-RUI-C012;48.1;2026-05-22 01:59:09.94
BI-RUI-C004;73.9;2026-05-22 01:59:59.913
BI-RUI-C012;48.1;2026-05-22 02:00:34.467
BI-RUI-017;65.500;2026-05-22 02:00:34.467
BI-RUI-019;59.958;2026-05-22 02:00:34.467
BI-RUI-004;60.687;2026-05-22 02:01:04.613
BI-RUI-P013;56.2;2026-05-22 02:01:04.613
BI-RUI-006;79.613;2026-05-22 02:01:12.113
BI-RUI-001;70.011;2026-05-22 02:01:19.927
BI-RUI-P012;62.2;2026-05-22 02:01:36.04
BI-RUI-C014;40.40;2026-05-22 02:01:47.103
BI-RUI-C003;43.20;2026-05-22 02:02:26.42
BI-RUI-C012;47.4;2026-05-22 02:02:56.973
